XDIP YDIP ZDIP RDIP
-1.59454366 -1.87303233 -6.586535 7.03087924
1.81652534 6.50262825 4.17892646 7.94023708
5.03730339 1.608487765E-02 2.66413138 5.69844542
-3.97314731 4.41469671 2.67020405 6.51194565
-5.96289312 1.51408708 3.46136258 7.05900736
-1.59863102 -3.02987553 -6.39026872 7.25060695
-5.44427846 -3.17535649 5.15982664 8.14535866
3.05421234 -5.67017942 1.7513459 6.67430597
3.41994091 -4.90146238 -3.03747978 6.7042235
-1.19171776 6.19189705 3.1729046 7.05883162
3.57724343 -6.91016535 0.134008452 7.78235273
-6.44205428 4.35161794 2.41997893 8.14204766
4.16806237 1.54201984 6.59196121 7.95012716
-5.96543865 -4.12449989 -2.50540368 7.67300497
4.23330937 1.44810621 5.64091561 7.19985061
-6.81387953 0.594209207 3.58774744 7.72359829
-2.14738095 -6.42257067 -3.38918415 7.57279527
-5.40064273 -0.309557987 4.00655628 6.73166111
1.3491023 -1.94013736 -7.18677883 7.56531559
-0.197598882 3.88350065 -4.55221316 5.98692469
0.16126607 -2.66659244 -6.72348918 7.23477911
5.6655431 -1.79023728 -2.8980798 6.61076354
2.60088501 4.10666832 5.67687626 7.47370401
-0.531060924 -0.744208365 -5.50763837 5.58300566
-5.47797609 -2.2020972 3.66128051 6.9471166
-0.697961271 8.44694967 2.55760469 8.85321695
-5.59273771 4.40982398 1.87617927 7.36514163
-6.6209381 -0.205419434 -1.14879724 6.72300183
3.17435038 -2.87593609 6.89491416 8.11710232
-4.58400829 1.93314513 -4.44773139 6.67326731
-4.66744677 5.76719848 -2.86098213 7.95178322
-1.60692022 -5.86911515 -4.12898561 7.35372201
6.84816253 0.598746334 -2.146136 7.20150866
0.694596096 1.54436754 7.82178879 8.00299411
-4.51589331 -4.780651 4.37186812 7.89690745
4.66101568 -4.52692136 1.19793595 6.6070519
5.75963046 3.55143194 0.892537228 6.82514722
5.10515114 -3.89497004 -1.89329377 6.69461882
4.92185359 5.58263997 -3.15056246 8.08186585
2.10648987 4.8340765 -3.95632154 6.59227391
-1.93340358 4.94188859 -4.39334332 6.88925088
2.69854644 -1.13015396 -4.04667388 4.9934928
-0.816055342 2.27578426 -7.85671107 8.22028279
-2.80231899 -4.52932753 5.32551624 7.53186051
-6.21282499 -3.25739921 -1.87178694 7.26040153
5.08452993 4.1449848 2.95375146 7.1943027
-6.2670353 4.06205846 -0.262528295 7.47294931
3.95670087 -6.17707266 -1.19080637 7.43167062
-2.17131739 -2.0629526 6.12974152 6.82232539
-5.25699956 3.28892975 0.232539109 6.20541519
